;Semestre;CRN;Materia;Seccion;Creditos;Titulo;Cupo;Inscritos;Disponible;1Dias;1Horas;1Salon;Area util_s1;Bloque_s1;Capacidad_s1;Ext_s1;Fijo/Movil_s1;Movil Express_s1;Tipo Mobiliario_s1;1F. Inicial;1F. Final;2Dias;2Horas;2Salon;Area util_s2;Bloque_s2;Capacidad_s2;Ext_s2;Fijo/Movil_s2;Movil Express_s2;Tipo Mobiliario_s2;2F. Inicial;2F. Final;3Dias;3Horas;3Salon;Area util_s3;Bloque_s3;Capacidad_s3;Ext_s3;Fijo/Movil_s3;Movil Express_s3;Tipo Mobiliario_s3;3F. Inicial;3F. Final;1Instructor;2Instructor;3Instructor
93;2018-01;31022;ADMI-3107C;6;0;COMPLEMENTARIA CONSULTORÍA;19;19;0;V;1400 - 1650;PU_200;32,8;Pu;32.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;VELASQUEZ ARGUELLO LEONARDO FABIO;;
94;2018-01;30418;ADMI-3107C;7;0;COMPLEMENTARIA CONSULTORÍA;20;20;0;V;1400 - 1650;O_303;64,2;O;56.0;5263.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MACIAS VILLAMARIN ADRIANA;;
95;2018-01;13122;ADMI-3109;3;3;PLANES DE NEGOCIOS;37;34;3;LI;1400 - 1520;M_100;72,1;M;63.0;nan;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GUERRERO ALVARADO ANDRES JOSE;;
96;2018-01;10837;ADMI-3110;1;3;EMPRENDI. INNOVACION.(INGLES);34;26;8;I;1530 - 1820;AU_403;46,6;Au;36.0;5633.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;KONOVALOV OLEG;;
97;2018-01;12462;ADMI-3110;2;3;EMPRENDIMIENTO E INNOVACION;35;35;0;M;1400 - 1650;AU_107;46,3;Au;36.0;5605.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ESTRADA PRADA FELIPE;;
98;2018-01;10859;ADMI-3110;4;3;EMPRENDIMIENTO E INNOVACION;35;34;1;L;0630 - 0920;AU_107;46,3;Au;36.0;5605.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;HERNANDEZ MORA JORGE ALBERTO;;
99;2018-01;13560;ADMI-3110;5;3;EMPRENDIMIENTO E INNOVACION;35;32;3;L;1530 - 1820;AU_403;46,6;Au;36.0;5633.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;VESGA FAJARDO RAFAEL AUGUSTO;;
100;2018-01;14951;ADMI-3110;6;3;EMPRENDIMIENTO E INNOVACION;33;32;1;L;0930 - 1220;AU_107;46,3;Au;36.0;5605.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GUERRERO ALVARADO ANDRES JOSE;;
101;2018-01;23164;ADMI-3110;7;3;EMPRENDIMIENTO E INNOVACION;37;36;1;M;1700 - 1950;ML_614;109,6;ML;44.0;1627.0;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;WAGEMBERG FELDMAN ALAN;;
102;2018-01;13924;ADMI-3122;1;3;JUEGO GERENCIAL;140;106;34;L;1700 - 1820;ML_608;165,5;ML;117.0;1631.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BRITTO AGUDELO RODRIGO ALBERTO;;
103;2018-01;31088;ADMI-3122C;1;0;COMPLEMENTARIA JUEGO GERENCIAL;35;13;22;V;0630 - 0920;AU_403;46,6;Au;36.0;5633.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;LOPEZ FAJARDO MARIANO ALBERTO;;
104;2018-01;30419;ADMI-3122C;2;0;COMPLEMENTARIA JUEGO GERENCIAL;35;35;0;M;0630 - 0920;W_402;81,8;W;40.0;5014.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;FUENTES FRIAS DARIO ALEJANDRO;;
105;2018-01;31089;ADMI-3122C;3;0;COMPLEMENTARIA JUEGO GERENCIAL;35;34;1;I;0630 - 0920;AU_403;46,6;Au;36.0;5633.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;FUENTES FRIAS DARIO ALEJANDRO;;
106;2018-01;31090;ADMI-3122C;4;0;COMPLEMENTARIA JUEGO GERENCIAL;35;24;11;I;1700 - 1950;AU_107;46,3;Au;36.0;5605.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BRITTO AGUDELO RODRIGO ALBERTO;;
107;2018-01;23712;ADMI-3128B;1;3;GESTIÓN CULT.:NOCIONES BÁSICAS;44;39;5;MV;1100 - 1220;O_403;57,8;O;50.0;5269.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RUIZ GUTIERREZ JAIME ALBERTO;;
108;2018-01;13228;ADMI-3133B;1;3;GERENCIA AMBIENTAL (INGLES);44;39;5;MV;1100 - 1220;O_404;57,8;O;50.0;5270.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;VAN HOOF BERNHARDUS JOHA;;
109;2018-01;28947;ADMI-3135B;1;3;CINE MEDIO AMBIENTE Y SOCIEDAD;54;27;27;I;1400 - 1650;SD_702;140;Sd;65.0;1117.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RODRIGUEZ BECERRA MANUEL;;
110;2018-01;14504;ADMI-3137;1;3;MODELOS DE LIDERAZGO;48;32;16;L;1230 - 1520;B_201;122,8;B;51.0;1439.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;LEON DIAZ INGRID MARCELA;;
111;2018-01;28948;ADMI-3138;1;3;EMPRESAS FAMILIA:CIELO-INFIERN;48;19;29;I;1100 - 1220;B_203;88,6;B;53.0;1441.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;L;1100 - 1220;SD_715;140,4;Sd;65.0;1109.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;VELEZ MONTES DIEGO;;
112;2018-01;30414;ADMI-3139;1;3;EMPREND LIDERES INNOVADOR GLOB;48;14;34;J;0930 - 1050;SD_702;140;Sd;65.0;1117.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;M;0930 - 1050;SD_702;140;Sd;65.0;1117.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;DAVILA LADRON DE GUE CARLOS;;
113;2018-01;28949;ADMI-3190;1;3;MODELO DE NEGOCIOS SOSTENIBLES;40;13;27;MV;0930 - 1050;O_304;64,2;O;56.0;5264.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;SERVANTIE VINCIANE MARIE CATHERINE;LINK OSPINA ANDRES;
114;2018-01;27968;ADMI-3200;1;3;OPCION DE GRADO (ESTRATEGIA);20;9;11;LJ;1400 - 1520;SD_201;58,8;Sd;26.0;nan;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;FERRO CORTES LUZ MARINA;;
115;2018-01;13761;ADMI-3200;2;3;OPCION DE GRADO-TG (MERCADEO);20;8;12;LI;1400 - 1520;C_106;42,3;C;22.0;nan;Movil;si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;OSPINA SILVA JOSE MIGUEL;;
117;2018-01;11998;ADMI-3205;1;3;FINANZAS PERSONALES;35;32;3;LJ;1100 - 1220;AU_402;46;Au;40.0;5632.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RODRIGUEZ RAGA SANTIAGO;;
118;2018-01;25993;ADMI-3210;2;3;MERCADOS DERIVADOS (INGLES);43;33;10;LI;1530 - 1650;AU_203;59,8;Au;48.0;5610.0;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;TER HORST ENRIQUE;;
119;2018-01;27974;ADMI-3237;1;3;MARKETING COMMUNICATIONS;47;41;6;MJ;1100 - 1220;O_303;64,2;O;56.0;5263.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;WILSON BRADLEY JAMES;;
120;2018-01;30415;ADMI-3240;1;3;GERENCIA  ACTIVOS FINANCIEROS;45;9;36;LJ;1100 - 1220;Q_306;86,3;Q;48.0;1454.0;Fijo;SI;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MANTILLA GARCIA DANIEL;;
121;2018-01;28952;ADMI-3311;1;3;EMPRENDIMIENTO MERCADEO INTERN;45;15;30;LJ;0800 - 0920;SD_807;140,4;Sd;82.0;1114.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;FERRO CORTES LUZ MARINA;;
122;2018-01;30416;ADMI-3341;1;3;BRAND MANAGEMENT;43;31;12;LI;1100 - 1220;R_110;46,8;R;46.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BARRIOS FAJARDO ANDRES ALBERTO;GUTIERREZ CEDEÑO MAVY CATHERINE;
123;2018-01;10147;ADMI-3405;1;3;SISTEM. INFORMACGER.(INGLES);50;43;7;LJ;1100 - 1220;SD_704;144,8;Sd;60.0;1106.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CAMACHO AHUMADA SONIA MARCELA;;
124;2018-01;10148;ADMI-3405;2;3;SISTEMAS INFORMACION GERENCIAL;50;31;19;MJ;0800 - 0920;SD_704;144,8;Sd;60.0;1106.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RUIZ VALDIVIESO MAURICIO;;
125;2018-01;18615;ADMI-3405;3;3;SISTEMAS INFORMACION GERENCIAL;50;25;25;MJ;1400 - 1520;SD_704;144,8;Sd;60.0;1106.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RUIZ VALDIVIESO MAURICIO;;
126;2018-01;28956;ADMI-3406;1;3;MARKETING ANALYTICS;43;12;31;V;1100 - 1220;SD_305;58,8;Sd;26.0;nan;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;I;1100 - 1220;SD_202;58,8;Sd;26.0;nan;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;RUIZ VALDIVIESO MAURICIO;;
127;2018-01;10149;ADMI-3502;1;3;ESTRATEGIA (INGLÉS);45;35;10;J;1530 - 1650;C_105;86,7;C;60.0;nan;Fijo;si;Silla móvil y mesa fija;22/01/18;12/5/2018;M;1530 - 1650;SD_715;140,4;Sd;65.0;1109.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;GUTIERREZ POVEDA ROBERTO;;
128;2018-01;10407;ADMI-3502;2;3;ESTRATEGIA;49;49;0;LI;0800 - 0920;O_404;57,8;O;50.0;5270.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MONTES JOYA JUAN CARLOS;;
129;2018-01;12463;ADMI-3502;3;3;ESTRATEGIA;47;47;0;MV;0630 - 0750;O_301;64,2;O;56.0;5261.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CUELLAR URBANO ERNESTO;;
130;2018-01;28691;ADMI-3502;4;3;ESTRATEGIA;49;45;4;MV;0800 - 0920;B_201;122,8;B;51.0;1439.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BARRIGA PALACIO JORGE RICARDO;;
131;2018-01;31441;ADMI-3502;5;3;ESTRATEGIA;50;51;-1;J;0630 - 0750;ML_511;85,4;ML;61.0;1615.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;L;0630 - 0750;SD_715;140,4;Sd;65.0;1109.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;CUELLAR URBANO ERNESTO;;
132;2018-01;28957;ADMI-3503;1;3;SERVICE MANAGEMENT;45;24;21;MJ;1230 - 1350;AU_102;62,6;Au;48.0;5602.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;THIELL MARCUS;;
133;2018-01;27982;ADMI-3601;1;3;TALL. HABILIDADES GERENC.;38;25;13;L;1700 - 1950;AU_203;59,8;Au;48.0;5610.0;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MUNOZ CIFUENTES JESUS ANTONIO;;
136;2018-01;17433;ADMI-3606;1;3;ESTRATEGIAS DE NEGOCIACION;38;35;3;M;1400 - 1650;W_504;82,3;W;42.0;5020.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;AZUERO ISAZA MARCO ANTONIO;;
137;2018-01;23065;ADMI-3611;1;3;ALIMENTOS Y OPORTUN.EMPRENDED.;24;22;2;MJ;0930 - 1050;AU_104;62,6;Au;48.0;5604.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;PEÑA FERNANDEZ CLAUDIO HUMBERTO;;
138;2018-01;11132;ADMI-3701;1;3;NEGOCIOS INTERNACIONALES;46;46;0;LJ;0930 - 1050;O_302;64,2;O;56.0;5262.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CARRILLO JUAN;;
139;2018-01;10150;ADMI-3701;2;3;NEGOCIOS INTERNACIONALES;46;46;0;LI;0930 - 1050;O_402;57,8;O;50.0;5268.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GARCIA DUQUE JUANA CATALINA;;
140;2018-01;12120;ADMI-3701;3;3;NEGOCIOS INTERNACIONALES;45;45;0;MV;0930 - 1050;B_203;88,6;B;53.0;1441.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BARRIGA PALACIO JORGE RICARDO;;
141;2018-01;31403;ADMI-3701;5;3;NEGOCIOS INTERNACIONALES;40;33;7;V;0630 - 0750;AU_206;59,8;Au;44.0;5613.0;Movil;SI;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;I;0630 - 0750;SD_715;140,4;Sd;65.0;1109.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;SOLER GALINDO LEIDY DIANA;;
142;2018-01;31248;ADMI-3705;1;3;MERCADOS EMERGENTES;48;18;30;LJ;1100 - 1220;O_403;57,8;O;50.0;5269.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GARCIA DUQUE JUANA CATALINA;CARRILLO JUAN;
145;2018-01;28961;ANTR-1001;1;0;TALLER DE INDUCCIÓN;20;9;11;V;0930 - 1050;C_207;42,6;C;22.0;nan;Movil;si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;WHITE NARVAEZ HILDA;;
146;2018-01;10265;ANTR-1101;1;3;FUNDAMENTOS DE ANTROPOLOGIA;70;28;42;I;1100 - 1220;Q_405;114,9;Q;70.0;nan;Fijo;SI;Silla móvil y mesa fija;22/01/18;12/5/2018;L;1100 - 1220;ML_615;109,6;ML;80.0;1623.0;Fijo;SI;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;CASTILLEJO ALEJANDRO;;
147;2018-01;28962;ANTR-1104;1;3;METODOS CUALITATIVOS DE INVEST;62;50;12;M;1400 - 1650;O_305;72,7;O;62.0;5265.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;SUAREZ MONTANEZ ROBERTO;;
148;2018-01;31027;ANTR-1104;2;3;METODOS CUALITATIVOS DE INVEST;47;46;1;M;1400 - 1650;AU_102;62,6;Au;48.0;5602.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;FORERO ANGEL ANA MARIA;;
149;2018-01;28963;ANTR-1105A;1;3;LA CONDICION HUMANA;74;70;4;J;1230 - 1350;R_209;172,1;R;192.0;nan;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;M;1230 - 1350;SD_807;140,4;Sd;82.0;1114.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;ESPINOSA ARANGO MONICA LUCIA;;
150;2018-01;28964;ANTR-1106B;1;3;PENSAMIENTO INDIGENA;80;47;33;I;1530 - 1650;R_210;172,8;R;192.0;nan;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;L;1530 - 1650;ML_615;109,6;ML;80.0;1623.0;Fijo;SI;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;AGUIRRE LISCHT DANIEL GUILLERMO;;
151;2018-01;28965;ANTR-1114A;1;3;VIOLENCIA Y CIVILIZACION;74;63;11;I;1230 - 1350;SD_806;140,4;Sd;82.0;1164.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;L;1230 - 1350;SD_807;140,4;Sd;82.0;1114.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;CASTILLEJO ALEJANDRO;;
152;2018-01;26231;ANTR-1118A;1;3;NATURALEZA Y CULTURA;54;44;10;LI;1100 - 1220;O_203;70,6;O;62.0;5258.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ARCHILA MONTAÑEZ SONIA;;
153;2018-01;28966;ANTR-1124A;1;3;TENER Y PODER;80;70;10;LJ;0930 - 1050;O_101;94;O;121.0;5250.0;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;JARAMILLO SALAZAR PABLO;;
154;2018-01;30648;ANTR-1125B;1;3;CAMPESINOS Y POLÍTICA;34;22;12;IV;0930 - 1050;Q_307;88,1;Q;42.0;1455.0;Fijo;SI;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CAICEDO FERNANDEZ ALHENA;;
155;2018-01;21330;ANTR-1134B;1;3;DIVERSIDAD HUMANA;64;42;22;I;1400 - 1520;Q_405;114,9;Q;70.0;nan;Fijo;SI;Silla móvil y mesa fija;22/01/18;12/5/2018;L;1400 - 1520;ML_606;125,7;ML;81.0;1612.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;NIÑO VARGAS JUAN CAMILO;;
156;2018-01;28968;ANTR-1135A;1;3;CAPITALISMO: HRIA Y CULTURA;80;81;-1;MJ;0800 - 0920;ML_603;165,6;ML;117.0;1626.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;SERJE DE LA OSSA MARGARITA ROSA;;
157;2018-01;10266;ANTR-1201;1;3;FUNDAMENTOS DE ARQUEOLOGIA;75;34;41;LJ;1530 - 1650;SD_803;140;Sd;82.0;1163.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BERREY CHARLES ADAMA;;
158;2018-01;26234;ANTR-1202B;1;3;AZTECAS, MAYAS E INCAS;59;59;0;MJ;0800 - 0920;R_111;83;R;70.0;nan;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;JARAMILLO LUIS GONZALO;;
159;2018-01;13368;ANTR-1203A;1;3;DE EVOLUCION CULTURA HUMANA;64;53;11;MJ;1100 - 1220;ML_604;125,7;ML;81.0;1616.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RAMOS ROCA ELIZABETH;;
160;2018-01;28969;ANTR-1401;1;3;ANTROPOLOGÍA BIOLÓGICA;55;21;34;MJ;0800 - 0920;ML_511;85,4;ML;61.0;1615.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RAMOS ROCA ELIZABETH;;
161;2018-01;28970;ANTR-2101;1;3;ETNOLOGIA DE COLOMBIA;75;79;-4;LI;1230 - 1350;R_210;172,8;R;192.0;nan;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;NIÑO VARGAS JUAN CAMILO;;
162;2018-01;28971;ANTR-2102;1;3;INSTRUMENTOS DE INVESTIGACION;55;20;35;V;1400 - 1650;M_100;72,1;M;63.0;nan;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ANDRADE ANDRADE SERGIO JAVIER;;
163;2018-01;28972;ANTR-2103;1;3;ESCUELAS ANTROPOLOGICAS I;70;74;-4;LI;0800 - 0920;R_113;83,5;R;77.0;nan;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;FLEISCHER FRIEDERIKE;;
164;2018-01;28973;ANTR-2106;1;3;ETNOHISTORIA AMERICANA;100;74;26;L;1400 - 1650;R_210;172,8;R;192.0;nan;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;LANGEBAEK RUEDA CARL;;
165;2018-01;28975;ANTR-2116;1;3;PATRIMONIO CULTURAL;30;11;19;MJ;1100 - 1220;LL_205;51,2;LL;32.0;5087.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;JARAMILLO LUIS GONZALO;;
166;2018-01;28976;ANTR-2121;1;3;EMBERA: LENGUAJE Y CULTURA;40;16;24;LI;1400 - 1520;O_302;64,2;O;56.0;5262.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;AGUIRRE LISCHT DANIEL GUILLERMO;;
167;2018-01;28977;ANTR-2122;1;3;PRODUC DOCUMENTALES ETNOGRAFIC;16;12;4;J;1400 - 1650;B_203;88,6;B;53.0;1441.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;STOLLBROCK TRUJILLO GERRIT KARL DARIO;;
168;2018-01;28978;ANTR-2201;1;3;ARQUEOLOGIA COMPARADA;55;48;7;LI;0930 - 1050;O_204;70,6;O;62.0;5259.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ARCHILA MONTAÑEZ SONIA;;
169;2018-01;26238;ANTR-2301;1;3;METODO DE ANALISIS LINGÜISTICO;55;19;36;I;1100 - 1220;AU_304;37,1;Au;28.0;5622.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;L;1100 - 1220;AU_307;29,4;Au;31.0;5625.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;AGUIRRE LISCHT DANIEL GUILLERMO;;
176;2018-01;28994;ANTR-3102;1;3;PENSAM. ANTROPOLOGICO COLOMB.;75;57;18;M;1400 - 1650;G_101;120,6;G;84.0;5501.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;PEDRAZA GOMEZ ZANDRA;;
177;2018-01;28995;ANTR-3103;1;3;TEORIAS ANTROPOL.CONTEMPOR.;65;50;15;MV;1230 - 1350;Q_405;114,9;Q;70.0;nan;Fijo;SI;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ANDRADE ANDRADE SERGIO JAVIER;;
178;2018-01;28996;ANTR-3171;1;3;SEMINARIO ETNOGRAFIA;25;19;6;I;1400 - 1650;AU_207;42,5;Au;30.0;5614.0;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;FERRO UMAÑA MARIA DEL ROSARIO;;
179;2018-01;31142;ANTR-3175;1;3;FLUJOS GLOBAL INTERCAM LOCALES;25;23;2;J;1700 - 1820;AU_302;37;Au;31.0;5620.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;L;1700 - 1820;AU_207;42,5;Au;30.0;5614.0;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;JARAMILLO SALAZAR PABLO;;
188;2018-01;11522;ANTR-3191;1;3;METODOLOGIA DE PRACTICA;25;21;4;V;1700 - 1950;AU_207;42,5;Au;30.0;5614.0;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;DURAN BERNAL CARLOS ANDRES;;
189;2018-01;11523;ANTR-3193;1;3;DISEÑO DE MONOGRAFIA;20;13;7;V;1700 - 1950;AU_309;42,5;Au;28.0;5627.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;OLARTE SIERRA MARIA FERNANDA;;
197;2018-01;29004;ANTR-4106;1;4;ESCUELAS ANTROPOLOG.1(PR-POST);5;0;5;LI;0800 - 0920;ML_119;16,3;ML;10.0;nan;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;
220;2018-01;29013;ANTR-6991;1;0;COLOQUIO DE INVESTIGACIONES;24;5;19;I;1230 - 1520;SD_207;58,2;Sd;24.0;nan;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ESPINOSA ARANGO MONICA LUCIA;;
241;2018-01;12236;ARQU-1225A;1;3;LA HISTORIA DE UNA CASA;73;73;0;I;0800 - 0920;ML_607;125,7;ML;81.0;1624.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;L;0800 - 0920;R_209;172,1;R;192.0;nan;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;;;;;;;;;;;;;JANE MAS MARC;;
